FeedbackType,Feedback
1,Your product seems to be good for me
0,Bad
1,Very Good
1,Good
0,Need more improvement
1,Im enjoying
0,Didnt like it dont ask me the reason
1,Its cool
1,Its good
0,Need some more improvement == In the design part
1,Not bad 
1,Not Bad,Will be use in futuer.
1,Perfect product
1,Perfect Product = iam happy with this
0,Not for my expectation
1,Great
1,Awesome
1,Awesome == I love this
0,I dont recommend to my friends
1,I recommend to my friends
1,This is so cool
1,My friend told me as its good will try on your product soon
1,I had alreadyrecomend to all my friends circle
0,Not satisfied
1,Suerly will continue to buy your product
1,This is awesome product
1,All my family memebers are usign your product and its very good.
1,I just want to tell you as its very good
0,I just didnt like this
1,We will buy more in future
0,In the future we dont buy 
1,looking forward to know more about your product
0,Seems useless for me
0,Not using at all
1,Waiting for new product release
0,Expecting next product should be good
1,Thank you for the good product
1,Thank You
1,Thank You simple super
0,Very very bad and not using == will not recomend to my friends.